time,price
2023-11-15 05:00:00,188.01
2023-11-16 05:00:00,189.71
2023-11-17 05:00:00,189.69
2023-11-20 05:00:00,191.45
2023-11-21 05:00:00,190.64
2023-11-22 05:00:00,191.31
2023-11-24 05:00:00,189.97
2023-11-27 05:00:00,189.79
2023-11-28 05:00:00,190.4
2023-11-29 05:00:00,189.37
2023-11-30 05:00:00,189.95
2023-12-01 05:00:00,191.24
2023-12-04 05:00:00,189.43
2023-12-05 05:00:00,193.42
2023-12-06 05:00:00,192.32
2023-12-07 05:00:00,194.27
2023-12-08 05:00:00,195.71
2023-12-11 05:00:00,193.18
2023-12-12 05:00:00,194.71
2023-12-13 05:00:00,197.96
2023-12-14 05:00:00,198.11
2023-12-15 05:00:00,197.57
2023-12-18 05:00:00,195.89
2023-12-19 05:00:00,196.94
2023-12-20 05:00:00,194.83
2023-12-21 05:00:00,194.68
2023-12-22 05:00:00,193.6
2023-12-26 05:00:00,193.05
2023-12-27 05:00:00,193.15
2023-12-28 05:00:00,193.58
2023-12-29 05:00:00,192.53
2024-01-02 05:00:00,185.64
2024-01-03 05:00:00,184.25
2024-01-04 05:00:00,181.91
2024-01-05 05:00:00,181.18
2024-01-08 05:00:00,185.56
2024-01-09 05:00:00,185.14
2024-01-10 05:00:00,186.19
2024-01-11 05:00:00,185.59
2024-01-12 05:00:00,185.92
2024-01-16 05:00:00,183.63
2024-01-17 05:00:00,182.68
2024-01-18 05:00:00,188.63
2024-01-19 05:00:00,191.56
2024-01-22 05:00:00,193.89
2024-01-23 05:00:00,195.18
2024-01-24 05:00:00,194.5
2024-01-25 05:00:00,194.17
2024-01-26 05:00:00,192.42
2024-01-29 05:00:00,191.73
2024-01-30 05:00:00,188.04
2024-01-31 05:00:00,184.4
2024-02-01 05:00:00,186.86
2024-02-02 05:00:00,185.85
2024-02-05 05:00:00,187.68
2024-02-06 05:00:00,189.3
2024-02-07 05:00:00,189.41
2024-02-08 05:00:00,188.32
2024-02-09 05:00:00,188.85
2024-02-12 05:00:00,187.15
2024-02-13 05:00:00,185.04
2024-02-14 05:00:00,184.15
2024-02-15 05:00:00,183.86
2024-02-16 05:00:00,182.31
2024-02-20 05:00:00,181.56
2024-02-21 05:00:00,182.32
2024-02-22 05:00:00,184.37
2024-02-23 05:00:00,182.52
2024-02-26 05:00:00,181.16
2024-02-27 05:00:00,182.63
2024-02-28 05:00:00,181.42
2024-02-29 05:00:00,180.75
2024-03-01 05:00:00,179.66
2024-03-04 05:00:00,175.1
2024-03-05 05:00:00,170.12
2024-03-06 05:00:00,169.12
2024-03-07 05:00:00,169.0
2024-03-08 05:00:00,170.73
2024-03-11 04:00:00,172.75
2024-03-12 04:00:00,173.23
2024-03-13 04:00:00,171.13
2024-03-14 04:00:00,173.0
2024-03-15 04:00:00,172.62
2024-03-18 04:00:00,173.72
2024-03-19 04:00:00,176.08
2024-03-20 04:00:00,178.67
2024-03-21 04:00:00,171.37
2024-03-22 04:00:00,172.28
