time,price
1679544000000,158.93
1679630400000,160.25
1679889600000,158.28
1679976000000,157.65
1680062400000,160.77
1680148800000,162.36
1680235200000,164.9
1680494400000,166.17
1680580800000,165.63
1680667200000,163.76
1680753600000,164.66
1681099200000,162.03
1681185600000,160.8
1681272000000,160.1
1681358400000,165.56
1681444800000,165.21
1681704000000,165.23
1681790400000,166.47
1681876800000,167.63
1681963200000,166.65
1682049600000,165.02
1682308800000,165.33
1682395200000,163.77
1682481600000,163.76
1682568000000,168.41
1682654400000,169.68
1682913600000,169.59
1683000000000,168.54
1683086400000,167.45
1683172800000,165.79
1683259200000,173.57
1683518400000,173.5
1683604800000,171.77
1683691200000,173.555
1683777600000,173.75
1683864000000,172.57
1684123200000,172.07
1684209600000,172.07
1684296000000,172.69
1684382400000,175.05
1684468800000,175.16
1684728000000,174.2
1684814400000,171.56
1684900800000,171.84
1684987200000,172.99
1685073600000,175.43
1685419200000,177.3
1685505600000,177.25
1685592000000,180.09
1685678400000,180.95
1685937600000,179.58
1686024000000,179.21
1686110400000,177.82
1686196800000,180.57
1686283200000,180.96
1686542400000,183.79
1686628800000,183.31
1686715200000,183.95
1686801600000,186.01
1686888000000,184.92
1687233600000,185.01
1687320000000,183.96
1687406400000,187.0
1687492800000,186.68
1687752000000,185.27
1687838400000,188.06
1687924800000,189.25
1688011200000,189.59
1688097600000,193.97
1688356800000,192.46
1688529600000,191.33
1688616000000,191.81
1688702400000,190.68
1688961600000,188.61
1689048000000,188.08
1689134400000,189.77
1689220800000,190.54
1689307200000,190.69
1689566400000,193.99
1689652800000,193.73
1689739200000,195.1
1689825600000,193.13
1689912000000,191.94
1690171200000,192.75
1690257600000,193.62
1690344000000,194.5
1690430400000,193.22
1690516800000,195.83
1690776000000,196.45
1690862400000,195.605
1690948800000,192.58
1691035200000,191.17
1691121600000,181.99
1691380800000,178.85
1691467200000,179.8
1691553600000,178.19
1691640000000,177.97
1691726400000,177.79
1691985600000,179.46
1692072000000,177.45
1692158400000,176.57
1692244800000,174.0
1692331200000,174.49
1692590400000,175.84
1692676800000,177.23
1692763200000,181.12
1692849600000,176.38
1692936000000,178.61
1693195200000,180.19
1693281600000,184.12
1693368000000,187.65
1693454400000,187.87
1693540800000,189.46
1693886400000,189.7
1693972800000,182.91
1694059200000,177.56
1694145600000,178.18
1694404800000,179.36
1694491200000,176.3
1694577600000,174.21
1694664000000,175.74
1694750400000,175.01
1695009600000,177.97
1695096000000,179.07
1695182400000,175.49
1695268800000,173.93
1695355200000,174.79
1695614400000,176.08
1695700800000,171.96
1695787200000,170.43
1695873600000,170.69
1695960000000,171.21
1696219200000,173.75
1696305600000,172.4
1696392000000,173.66
1696478400000,174.91
1696564800000,177.49
1696824000000,178.99
1696910400000,178.39
1696996800000,179.8
1697083200000,180.71
1697169600000,178.85
1697428800000,178.72
1697515200000,177.15
1697601600000,175.84
1697688000000,175.46
1697774400000,172.88
1698033600000,173.0
1698120000000,173.44
1698206400000,171.1
1698292800000,166.89
1698379200000,168.22
1698638400000,170.29
1698724800000,170.77
1698811200000,173.97
1698897600000,177.57
1698984000000,176.65
1699246800000,179.23
1699333200000,181.82
1699419600000,182.89
1699506000000,182.41
1699592400000,186.4
1699851600000,184.8
1699938000000,187.44
1700024400000,188.01
1700110800000,189.71
1700197200000,189.69
1700456400000,191.45
1700542800000,190.64
1700629200000,191.31
1700802000000,189.97
1701061200000,189.79
1701147600000,190.4
1701234000000,189.37
1701320400000,189.95
1701406800000,191.24
1701666000000,189.43
1701752400000,193.42
1701838800000,192.32
1701925200000,194.27
1702011600000,195.71
1702270800000,193.18
1702357200000,194.71
1702443600000,197.96
1702530000000,198.11
1702616400000,197.57
1702875600000,195.89
1702962000000,196.94
1703048400000,194.83
1703134800000,194.68
1703221200000,193.6
1703566800000,193.05
1703653200000,193.15
1703739600000,193.58
1703826000000,192.53
1704171600000,185.64
1704258000000,184.25
1704344400000,181.91
1704430800000,181.18
1704690000000,185.56
1704776400000,185.14
1704862800000,186.19
1704949200000,185.59
1705035600000,185.92
1705381200000,183.63
1705467600000,182.68
1705554000000,188.63
1705640400000,191.56
1705899600000,193.89
1705986000000,195.18
1706072400000,194.5
1706158800000,194.17
1706245200000,192.42
1706504400000,191.73
1706590800000,188.04
1706677200000,184.4
1706763600000,186.86
1706850000000,185.85
1707109200000,187.68
1707195600000,189.3
1707282000000,189.41
1707368400000,188.32
1707454800000,188.85
1707714000000,187.15
1707800400000,185.04
1707886800000,184.15
1707973200000,183.86
1708059600000,182.31
1708405200000,181.56
1708491600000,182.32
1708578000000,184.37
1708664400000,182.52
1708923600000,181.16
1709010000000,182.63
1709096400000,181.42
1709182800000,180.75
1709269200000,179.66
1709528400000,175.1
1709614800000,170.12
1709701200000,169.12
1709787600000,169.0
1709874000000,170.73
1710129600000,172.75
1710216000000,173.23
1710302400000,171.13
1710388800000,173.0
1710475200000,172.62
1710734400000,173.72
1710820800000,176.08
1710907200000,178.67
1710993600000,171.37
1711080000000,172.28
