,X,Filing Date,Trade�Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,?Own,Value,1d,1w,1m,6m
0,,12/14/2023 19:22,2023-12-14,BEN,Sethi Alok,"EVP, Head of Global Operations",S - Sale,$29.27 ,-22000,70481,-24%,"($643,845)",,,,
1,,12/5/2023 16:37,2023-12-05,BEN,Sethi Alok,"EVP, Head of Global Operations",S - Sale,$25.38 ,-25000,92481,-21%,"($634,465)",,,,
2,,10/10/2023 18:08,2023-10-10,BEN,Byerwalter Mariann H,Dir,S - Sale,$24.01 ,-6011,10494,-36%,"($144,324)",,,,
3,,2/1/2023 15:13,2023-02-01,BEN,Sethi Alok,"EVP, Technology, Operations",S - Sale,$31.09 ,-29503,92132,-24%,"($917,325)",,,,
4,,8/18/2022 12:40,2022-08-16,BEN,Johnson Jennifer M,"Pres, CEO",S - Sale,$28.75 ,-55201,5444767,-1%,"($1,587,211)",,,,
5,,8/15/2022 11:22,2022-08-12,BEN,Plafker Jed A.,EVP,S - Sale,$29.02 ,-19166,129685,-13%,"($556,188)",,,,
6,,6/16/2022 13:42,2022-06-15,BEN,Byerwalter Mariann H,Dir,S - Sale,$23.37 ,-3135,11523,-21%,"($73,265)",,,,
